QuestionNumber | Module | TopicCode | TopicName | AssessmentCriterion | QuestionType | Stem | OptionA | OptionB | OptionC | OptionD | OptionE | CorrectAnswer | Marks | BloomLevel
213 | KM-02 | KT0801 | Pneumatics | Fluid principles | MCQ | Pneumatic systems typically operate at: | Very high pressure | Low to medium pressure | Vacuum only | Hydraulic pressure levels | Zero pressure | B | 1 | Understand
214 | KM-02 | KT0801 | Pneumatics | Fluid principles | TF | Pneumatic systems are generally faster than hydraulic systems. | True | False |  |  |  | A | 1 | Understand
215 | KM-02 | KT0802 | Pneumatics | FRL units | MCQ | The ?F? in FRL stands for: | Filter | Flow | Force | Feed | Fuse | A | 1 | Remember
216 | KM-02 | KT0802 | Pneumatics | FRL units | TF | The filter in an FRL unit removes moisture and contaminants. | True | False |  |  |  | A | 1 | Understand
217 | KM-02 | KT0802 | Pneumatics | FRL units | MCQ | The regulator in an FRL unit is used to: | Increase flow | Control pressure | Remove water | Add lubrication | Reduce noise | B | 1 | Understand
218 | KM-02 | KT0802 | Pneumatics | FRL units | TF | The lubricator adds a fine mist of oil to the air supply. | True | False |  |  |  | A | 1 | Remember
219 | KM-02 | KT0803 | Pneumatics | Valves | MCQ | A 5/2 directional control valve has: | 5 ports, 2 positions | 5 positions, 2 ports | 2 ports, 5 positions | 5 inlets, 2 outlets | 2 inlets, 5 outlets | A | 1 | Understand
220 | KM-02 | KT0803 | Pneumatics | Valves | TF | Directional control valves determine the path of airflow. | True | False |  |  |  | A | 1 | Remember
221 | KM-02 | KT0803 | Pneumatics | Valves | MCQ | A non?return valve allows air to flow: | In both directions | In one direction only | Only when pressure is zero | Only when manually opened | Only when lubricated | B | 1 | Remember
222 | KM-02 | KT0803 | Pneumatics | Valves | TF | Non?return valves prevent backflow in pneumatic circuits. | True | False |  |  |  | A | 1 | Understand
223 | KM-02 | KT0804 | Pneumatics | Actuators | MCQ | A single?acting pneumatic cylinder uses air pressure to: | Extend only | Retract only | Extend and retract | Rotate continuously | Increase pressure | A | 1 | Understand
224 | KM-02 | KT0804 | Pneumatics | Actuators | TF | Double?acting cylinders use air pressure in both directions. | True | False |  |  |  | A | 1 | Remember
225 | KM-02 | KT0804 | Pneumatics | Actuators | MCQ | Rotary actuators convert air pressure into: | Linear motion | Heat | Rotary motion | Vacuum | Filtration | C | 1 | Understand
226 | KM-02 | KT0804 | Pneumatics | Actuators | TF | Pneumatic motors are rotary actuators. | True | False |  |  |  | A | 1 | Remember
227 | KM-02 | KT0805 | Pneumatics | Circuits | MCQ | A flow control valve is used to: | Increase pressure | Regulate actuator speed | Change direction | Remove moisture | Filter air | B | 1 | Understand
228 | KM-02 | KT0805 | Pneumatics | Circuits | TF | Flow rate determines the speed of a pneumatic cylinder. | True | False |  |  |  | A | 1 | Apply
229 | KM-02 | KT0805 | Pneumatics | Circuits | MCQ | A shuttle valve performs a: | Logical AND function | Logical OR function | Pressure relief | Speed control | Direction change | B | 1 | Understand
230 | KM-02 | KT0805 | Pneumatics | Circuits | TF | A shuttle valve allows the higher of two signals to pass through. | True | False |  |  |  | A | 1 | Understand
231 | KM-02 | KT0806 | Pneumatics | Troubleshooting | MCQ | Slow cylinder movement may be caused by: | High flow | Low flow | Clean filters | Correct lubrication | New seals | B | 1 | Apply
232 | KM-02 | KT0806 | Pneumatics | Troubleshooting | TF | Air leaks reduce system efficiency and speed. | True | False |  |  |  | A | 1 | Understand
233 | KM-02 | KT0806 | Pneumatics | Troubleshooting | MCQ | Excessive moisture in air lines can cause: | Smooth operation | Corrosion and sticking | Increased speed | Higher pressure | Cleaner air | B | 1 | Understand
234 | KM-02 | KT0806 | Pneumatics | Troubleshooting | TF | Water traps must be drained regularly. | True | False |  |  |  | A | 1 | Apply
235 | KM-02 | KT0807 | Pneumatics | Safety | MCQ | Before working on a pneumatic system, you must: | Increase pressure | Release stored air pressure | Add lubrication | Remove filters | Open all valves | B | 1 | Apply
236 | KM-02 | KT0807 | Pneumatics | Safety | TF | Pneumatic systems can store residual pressure even when switched off. | True | False |  |  |  | A | 1 | Understand
237 | KM-02 | KT0807 | Pneumatics | Safety | MCQ | Air hoses must be checked for: | Colour | Length | Cracks and wear | Temperature | Weight | C | 1 | Understand
238 | KM-02 | KT0807 | Pneumatics | Safety | TF | Damaged hoses can burst and cause injury. | True | False |  |  |  | A | 1 | Apply
239 | KM-02 | KT0807 | Pneumatics | Safety | MCQ | Blowing compressed air onto the skin can cause: | Cooling | No effect | Serious injury | Cleaning | Relaxation | C | 1 | Understand
240 | KM-02 | KT0807 | Pneumatics | Safety | TF | Compressed air must never be used to clean clothing. | True | False |  |  |  | A | 1 | Apply
241 | KM-02 | KT0901 | Lubrication | Types | MCQ | Which of the following is a type of lubrication system? | Gravity feed | Splash system | Pressure system | All of the above | None of the above | D | 1 | Remember
242 | KM-02 | KT0901 | Lubrication | Types | TF | Splash lubrication relies on rotating parts to distribute oil. | True | False |  |  |  | A | 1 | Understand
243 | KM-02 | KT0901 | Lubrication | Types | MCQ | Pressure lubrication is commonly used in: | Small engines | High?speed machinery | Manual tools | Bicycle chains | Low?load bearings | B | 1 | Understand
244 | KM-02 | KT0901 | Lubrication | Types | TF | Pressure lubrication provides continuous oil flow to components. | True | False |  |  |  | A | 1 | Remember
245 | KM-02 | KT0902 | Lubrication | Lubricants | MCQ | Viscosity refers to a lubricant?s: | Colour | Thickness or resistance to flow | Temperature | Chemical smell | Density | B | 1 | Understand
246 | KM-02 | KT0902 | Lubrication | Lubricants | TF | High?viscosity oils are thicker than low?viscosity oils. | True | False |  |  |  | A | 1 | Remember
247 | KM-02 | KT0902 | Lubrication | Lubricants | MCQ | Grease is made from oil and: | Water | Soap thickener | Diesel | Alcohol | Air | B | 1 | Remember
248 | KM-02 | KT0902 | Lubrication | Lubricants | TF | Grease is suitable for slow?moving or heavily loaded components. | True | False |  |  |  | A | 1 | Understand
249 | KM-02 | KT0903 | Lubrication | Applications | MCQ | Which lubricant is best for high?temperature applications? | Light oil | Water?based oil | Synthetic oil | Vegetable oil | Diesel oil | C | 1 | Apply
250 | KM-02 | KT0903 | Lubrication | Applications | TF | Synthetic oils offer better stability at extreme temperatures. | True | False |  |  |  | A | 1 | Understand
251 | KM-02 | KT0903 | Lubrication | Applications | MCQ | Boundary lubrication occurs when: | Surfaces are fully separated by oil | Metal surfaces make partial contact | No lubrication is present | Only grease is used | Oil is overheated | B | 1 | Understand
252 | KM-02 | KT0903 | Lubrication | Applications | TF | Hydrodynamic lubrication forms a full oil film between surfaces. | True | False |  |  |  | A | 1 | Remember
253 | KM-02 | KT0904 | Lubrication | Contamination | MCQ | The MOST common cause of lubricant contamination is: | Clean storage | Dirt and moisture | Correct handling | New containers | Proper sealing | B | 1 | Understand
254 | KM-02 | KT0904 | Lubrication | Contamination | TF | Water contamination can cause oil to appear milky. | True | False |  |  |  | A | 1 | Remember
255 | KM-02 | KT0904 | Lubrication | Contamination | MCQ | Metal particles in oil indicate: | Normal operation | Wear of components | Clean system | Correct lubrication | Low temperature | B | 1 | Apply
256 | KM-02 | KT0904 | Lubrication | Contamination | TF | Oil filters help remove contaminants from lubrication systems. | True | False |  |  |  | A | 1 | Understand
257 | KM-02 | KT0905 | Lubrication | Storage & handling | MCQ | Lubricants must be stored in: | Open containers | Dirty areas | Clean, dry environments | Direct sunlight | Near heat sources | C | 1 | Understand
258 | KM-02 | KT0905 | Lubrication | Storage & handling | TF | Mixing different lubricant types can cause chemical incompatibility. | True | False |  |  |  | A | 1 | Remember
259 | KM-02 | KT0905 | Lubrication | Storage & handling | MCQ | Colour?coding lubrication containers helps to: | Decorate the workshop | Prevent cross?contamination | Increase viscosity | Reduce temperature | Improve smell | B | 1 | Apply
260 | KM-02 | KT0905 | Lubrication | Storage & handling | TF | Lubricants must always be kept in sealed containers. | True | False |  |  |  | A | 1 | Apply
261 | KM-02 | KT0906 | Lubrication | Safety | MCQ | Oil spills on floors create a risk of: | Fire only | Slipping hazards | Noise | Overheating | Electrical faults | B | 1 | Understand
262 | KM-02 | KT0906 | Lubrication | Safety | TF | Spilled oil must be cleaned immediately. | True | False |  |  |  | A | 1 | Apply
263 | KM-02 | KT0906 | Lubrication | Safety | MCQ | Used oil must be disposed of: | Down the drain | In general waste | According to environmental regulations | On the ground | In open containers | C | 1 | Understand
264 | KM-02 | KT0906 | Lubrication | Safety | TF | Used oil can be harmful to the environment. | True | False |  |  |  | A | 1 | Remember
265 | KM-02 | KT0902 | Lubrication | Lubricants | MCQ | The SAE rating on oil refers to: | Temperature | Viscosity grade | Chemical composition | Colour | Pressure rating | B | 1 | Remember
266 | KM-02 | KT0902 | Lubrication | Lubricants | TF | Multi?grade oils can operate effectively over a wide temperature range. | True | False |  |  |  | A | 1 | Understand
267 | KM-02 | KT0903 | Lubrication | Applications | MCQ | Which lubrication method is used in gearboxes? | Splash lubrication | Gravity feed | Manual oiling | Mist lubrication | Dry lubrication | A | 1 | Understand
268 | KM-02 | KT0903 | Lubrication | Applications | TF | Gearbox oil must be checked regularly for contamination. | True | False |  |  |  | A | 1 | Apply
269 | KM-02 | KT0904 | Lubrication | Contamination | MCQ | Oxidation of oil is caused by: | Clean environment | Exposure to oxygen and heat | Low temperature | Proper sealing | New filters | B | 1 | Understand
270 | KM-02 | KT0904 | Lubrication | Contamination | TF | Oxidized oil can form sludge and varnish. | True | False |  |  |  | A | 1 | Apply
1 | KM-03 | KT0101 | Lathe Operations | Components | MCQ | Which component holds the workpiece on a lathe? | Toolpost | Tailstock | Chuck | Carriage | Apron | C | 1 | Remember
2 | KM-03 | KT0101 | Lathe Operations | Components | TF | The chuck is used to clamp and rotate the workpiece. | True | False |  |  |  | A | 1 | Understand
3 | KM-03 | KT0101 | Lathe Operations | Components | MCQ | The tailstock is mainly used for: | Supporting long workpieces | Holding cutting tools | Changing spindle speed | Lubricating the machine | Storing tools | A | 1 | Understand
4 | KM-03 | KT0101 | Lathe Operations | Components | TF | The tailstock can hold drills for drilling operations. | True | False |  |  |  | A | 1 | Apply
5 | KM-03 | KT0102 | Lathe Operations | Tooling | MCQ | The part of a cutting tool that contacts the workpiece is the: | Shank | Flank | Cutting edge | Heel | Base | C | 1 | Remember
6 | KM-03 | KT0102 | Lathe Operations | Tooling | TF | High-speed steel (HSS) tools are commonly used for general turning. | True | False |  |  |  | A | 1 | Remember
7 | KM-03 | KT0102 | Lathe Operations | Tooling | MCQ | Carbide inserts are preferred because they: | Are cheaper | Can cut at higher speeds | Are softer | Require no coolant | Are flexible | B | 1 | Understand
8 | KM-03 | KT0102 | Lathe Operations | Tooling | TF | Carbide tools can withstand higher temperatures than HSS tools. | True | False |  |  |  | A | 1 | Understand
9 | KM-03 | KT0103 | Lathe Operations | Operations | MCQ | Facing is performed to: | Reduce diameter | Produce a flat surface | Cut threads | Create a taper | Drill a hole | B | 1 | Understand
10 | KM-03 | KT0103 | Lathe Operations | Operations | TF | Facing is done by feeding the tool perpendicular to the workpiece axis. | True | False |  |  |  | A | 1 | Apply
11 | KM-03 | KT0103 | Lathe Operations | Operations | MCQ | Turning reduces the workpiece: | Length | Diameter | Hardness | Surface finish | Weight only | B | 1 | Understand
12 | KM-03 | KT0103 | Lathe Operations | Operations | TF | Turning is performed parallel to the workpiece axis. | True | False |  |  |  | A | 1 | Apply
13 | KM-03 | KT0103 | Lathe Operations | Operations | MCQ | Taper turning can be done using: | Tailstock offset | Compound slide | Taper attachment | All of the above | None of the above | D | 1 | Understand
14 | KM-03 | KT0103 | Lathe Operations | Operations | TF | The compound slide is commonly used for short, steep tapers. | True | False |  |  |  | A | 1 | Apply
15 | KM-03 | KT0103 | Lathe Operations | Operations | MCQ | Knurling is used to: | Reduce diameter | Create a textured grip | Improve accuracy | Cut threads | Remove burrs | B | 1 | Understand
16 | KM-03 | KT0103 | Lathe Operations | Operations | TF | Knurling displaces material rather than cutting it. | True | False |  |  |  | A | 1 | Understand
17 | KM-03 | KT0104 | Lathe Operations | Thread cutting | MCQ | Thread cutting on a lathe requires engagement of the: | Lead screw | Feed rod | Tailstock | Chuck key | Coolant pump | A | 1 | Remember
18 | KM-03 | KT0104 | Lathe Operations | Thread cutting | TF | The half?nut lever engages the carriage with the lead screw. | True | False |  |  |  | A | 1 | Understand
19 | KM-03 | KT0104 | Lathe Operations | Thread cutting | MCQ | The pitch of a thread is the: | Depth of thread | Angle of thread | Distance between adjacent threads | Diameter of thread | Root radius | C | 1 | Remember
20 | KM-03 | KT0104 | Lathe Operations | Thread cutting | TF | Thread depth increases with each successive pass. | True | False |  |  |  | A | 1 | Apply
21 | KM-03 | KT0105 | Lathe Operations | Speeds & feeds | MCQ | Cutting speed depends mainly on: | Tool colour | Workpiece material | Operator skill | Coolant type | Machine age | B | 1 | Understand
22 | KM-03 | KT0105 | Lathe Operations | Speeds & feeds | TF | Higher cutting speeds generate more heat. | True | False |  |  |  | A | 1 | Understand
23 | KM-03 | KT0105 | Lathe Operations | Speeds & feeds | MCQ | Feed rate refers to: | Tool rotation | Workpiece speed | Tool movement per revolution | Coolant flow | Chip thickness | C | 1 | Remember
24 | KM-03 | KT0105 | Lathe Operations | Speeds & feeds | TF | Too high a feed rate can cause poor surface finish. | True | False |  |  |  | A | 1 | Apply
25 | KM-03 | KT0106 | Lathe Operations | Safety | MCQ | Which action is unsafe when operating a lathe? | Wearing safety glasses | Removing swarf with a brush | Wearing loose clothing | Using correct speeds | Checking tool height | C | 1 | Remember
26 | KM-03 | KT0106 | Lathe Operations | Safety | TF | Loose clothing can get caught in rotating parts. | True | False |  |  |  | A | 1 | Understand
27 | KM-03 | KT0106 | Lathe Operations | Safety | MCQ | Swarf should be removed using: | Hands | Compressed air | A brush or hook | Gloves | A rag | C | 1 | Apply
28 | KM-03 | KT0106 | Lathe Operations | Safety | TF | Compressed air must not be used to remove swarf. | True | False |  |  |  | A | 1 | Remember
29 | KM-03 | KT0101 | Lathe Operations | Components | MCQ | The carriage assembly includes the: | Chuck | Tailstock | Saddle and apron | Toolpost only | Lead screw | C | 1 | Understand
30 | KM-03 | KT0101 | Lathe Operations | Components | TF | The cross?slide allows movement perpendicular to the spindle axis. | True | False |  |  |  | A | 1 | Understand
31 | KM-03 | KT0201 | Milling Operations | Machine types | MCQ | Which machine has a vertically oriented spindle? | Horizontal mill | Vertical mill | Universal lathe | Surface grinder | Radial drill | B | 1 | Remember
32 | KM-03 | KT0201 | Milling Operations | Machine types | TF | A vertical milling machine is ideal for face milling operations. | True | False |  |  |  | A | 1 | Understand
33 | KM-03 | KT0201 | Milling Operations | Machine types | MCQ | A universal milling machine allows: | Only vertical movement | Only horizontal movement | Both horizontal and vertical spindle positions | No table movement | Only drilling | C | 1 | Understand
34 | KM-03 | KT0201 | Milling Operations | Machine types | TF | Horizontal mills are commonly used for heavy material removal. | True | False |  |  |  | A | 1 | Understand
35 | KM-03 | KT0202 | Milling Operations | Cutters | MCQ | A slab mill is used for: | Slotting | Heavy surface milling | Thread cutting | Keyway cutting | Drilling | B | 1 | Remember
36 | KM-03 | KT0202 | Milling Operations | Cutters | TF | End mills can cut in both axial and radial directions. | True | False |  |  |  | A | 1 | Understand
37 | KM-03 | KT0202 | Milling Operations | Cutters | MCQ | A side?and?face cutter is used for: | Drilling | Slotting and deep cutting | Facing | Knurling | Taper turning | B | 1 | Apply
38 | KM-03 | KT0202 | Milling Operations | Cutters | TF | Ball?nose end mills are used for contouring and 3D surfaces. | True | False |  |  |  | A | 1 | Understand
39 | KM-03 | KT0203 | Milling Operations | Operations | MCQ | Face milling produces: | Flat surfaces | Keyways | Slots | Threads | Tapers | A | 1 | Understand
40 | KM-03 | KT0203 | Milling Operations | Operations | TF | In face milling, the cutter axis is perpendicular to the workpiece surface. | True | False |  |  |  | A | 1 | Apply
41 | KM-03 | KT0203 | Milling Operations | Operations | MCQ | Slot milling is performed using: | Slab mill | Fly cutter | End mill | Reamer | Drill bit | C | 1 | Remember
42 | KM-03 | KT0203 | Milling Operations | Operations | TF | Climb milling feeds the workpiece in the same direction as cutter rotation. | True | False |  |  |  | A | 1 | Understand
43 | KM-03 | KT0203 | Milling Operations | Operations | MCQ | Conventional milling is preferred when: | Machine backlash is high | Machine is new | Cutter is dull | Workpiece is soft | Coolant is unavailable | A | 1 | Apply
44 | KM-03 | KT0203 | Milling Operations | Operations | TF | Climb milling generally provides a better surface finish. | True | False |  |  |  | A | 1 | Understand
45 | KM-03 | KT0204 | Milling Operations | Feeds & speeds | MCQ | Cutting speed in milling depends mainly on: | Cutter diameter | Machine age | Operator skill | Coolant colour | Table size | A | 1 | Understand
46 | KM-03 | KT0204 | Milling Operations | Feeds & speeds | TF | Larger cutter diameters require lower spindle speeds. | True | False |  |  |  | A | 1 | Understand
47 | KM-03 | KT0204 | Milling Operations | Feeds & speeds | MCQ | Feed rate is measured in: | mm/min | mm/rev | m/s | rpm | N/mm˝ | A | 1 | Remember
48 | KM-03 | KT0204 | Milling Operations | Feeds & speeds | TF | Too high a feed rate can cause tool breakage. | True | False |  |  |  | A | 1 | Apply
49 | KM-03 | KT0205 | Milling Operations | Workholding | MCQ | A machine vice is commonly used to: | Hold cutters | Hold workpieces | Hold coolant | Hold measuring tools | Hold inserts | B | 1 | Remember
50 | KM-03 | KT0205 | Milling Operations | Workholding | TF | Workpieces must be clamped securely to prevent vibration. | True | False |  |  |  | A | 1 | Apply
51 | KM-03 | KT0205 | Milling Operations | Workholding | MCQ | T?slots on the milling table are used for: | Coolant drainage | Mounting clamps and fixtures | Tool storage | Chip removal | Lubrication | B | 1 | Understand
52 | KM-03 | KT0205 | Milling Operations | Workholding | TF | Parallels are used to raise the workpiece in a vice. | True | False |  |  |  | A | 1 | Apply
53 | KM-03 | KT0206 | Milling Operations | Safety | MCQ | Which action is unsafe during milling? | Using guards | Wearing safety glasses | Removing chips by hand | Using correct speeds | Clamping securely | C | 1 | Remember
54 | KM-03 | KT0206 | Milling Operations | Safety | TF | Chips must be removed with a brush, not hands. | True | False |  |  |  | A | 1 | Remember
55 | KM-03 | KT0206 | Milling Operations | Safety | MCQ | Before changing a cutter, the operator must: | Increase speed | Stop the spindle | Remove coolant | Loosen the table | Raise the knee | B | 1 | Apply
56 | KM-03 | KT0206 | Milling Operations | Safety | TF | Loose clothing is dangerous around rotating cutters. | True | False |  |  |  | A | 1 | Understand
57 | KM-03 | KT0203 | Milling Operations | Operations | MCQ | A fly cutter is used for: | Deep slotting | Wide surface finishing | Thread cutting | Keyway cutting | Drilling | B | 1 | Understand
58 | KM-03 | KT0203 | Milling Operations | Operations | TF | Fly cutters produce a single?point cutting action. | True | False |  |  |  | A | 1 | Remember
59 | KM-03 | KT0202 | Milling Operations | Cutters | MCQ | A form cutter is used to: | Drill holes | Produce complex profiles | Face surfaces | Cut threads | Remove burrs | B | 1 | Understand
60 | KM-03 | KT0202 | Milling Operations | Cutters | TF | Form cutters are designed to create specific shapes in one pass. | True | False |  |  |  | A | 1 | Apply
241 | KM-02 | KT0901 | Lubrication | Types | MCQ | Which of the following is a type of lubrication system? | Gravity feed | Splash system | Pressure system | All of the above | None of the above | D | 1 | Remember
242 | KM-02 | KT0901 | Lubrication | Types | TF | Splash lubrication relies on rotating parts to distribute oil. | True | False |  |  |  | A | 1 | Understand
243 | KM-02 | KT0901 | Lubrication | Types | MCQ | Pressure lubrication is commonly used in: | Small engines | High?speed machinery | Manual tools | Bicycle chains | Low?load bearings | B | 1 | Understand
244 | KM-02 | KT0901 | Lubrication | Types | TF | Pressure lubrication provides continuous oil flow to components. | True | False |  |  |  | A | 1 | Remember
245 | KM-02 | KT0902 | Lubrication | Lubricants | MCQ | Viscosity refers to a lubricant?s: | Colour | Thickness or resistance to flow | Temperature | Chemical smell | Density | B | 1 | Understand
246 | KM-02 | KT0902 | Lubrication | Lubricants | TF | High?viscosity oils are thicker than low?viscosity oils. | True | False |  |  |  | A | 1 | Remember
247 | KM-02 | KT0902 | Lubrication | Lubricants | MCQ | Grease is made from oil and: | Water | Soap thickener | Diesel | Alcohol | Air | B | 1 | Remember
248 | KM-02 | KT0902 | Lubrication | Lubricants | TF | Grease is suitable for slow?moving or heavily loaded components. | True | False |  |  |  | A | 1 | Understand
249 | KM-02 | KT0903 | Lubrication | Applications | MCQ | Which lubricant is best for high?temperature applications? | Light oil | Water?based oil | Synthetic oil | Vegetable oil | Diesel oil | C | 1 | Apply
250 | KM-02 | KT0903 | Lubrication | Applications | TF | Synthetic oils offer better stability at extreme temperatures. | True | False |  |  |  | A | 1 | Understand
251 | KM-02 | KT0903 | Lubrication | Applications | MCQ | Boundary lubrication occurs when: | Surfaces are fully separated by oil | Metal surfaces make partial contact | No lubrication is present | Only grease is used | Oil is overheated | B | 1 | Understand
252 | KM-02 | KT0903 | Lubrication | Applications | TF | Hydrodynamic lubrication forms a full oil film between surfaces. | True | False |  |  |  | A | 1 | Remember
253 | KM-02 | KT0904 | Lubrication | Contamination | MCQ | The MOST common cause of lubricant contamination is: | Clean storage | Dirt and moisture | Correct handling | New containers | Proper sealing | B | 1 | Understand
254 | KM-02 | KT0904 | Lubrication | Contamination | TF | Water contamination can cause oil to appear milky. | True | False |  |  |  | A | 1 | Remember
255 | KM-02 | KT0904 | Lubrication | Contamination | MCQ | Metal particles in oil indicate: | Normal operation | Wear of components | Clean system | Correct lubrication | Low temperature | B | 1 | Apply
256 | KM-02 | KT0904 | Lubrication | Contamination | TF | Oil filters help remove contaminants from lubrication systems. | True | False |  |  |  | A | 1 | Understand
257 | KM-02 | KT0905 | Lubrication | Storage & handling | MCQ | Lubricants must be stored in: | Open containers | Dirty areas | Clean, dry environments | Direct sunlight | Near heat sources | C | 1 | Understand
258 | KM-02 | KT0905 | Lubrication | Storage & handling | TF | Mixing different lubricant types can cause chemical incompatibility. | True | False |  |  |  | A | 1 | Remember
259 | KM-02 | KT0905 | Lubrication | Storage & handling | MCQ | Colour?coding lubrication containers helps to: | Decorate the workshop | Prevent cross?contamination | Increase viscosity | Reduce temperature | Improve smell | B | 1 | Apply
260 | KM-02 | KT0905 | Lubrication | Storage & handling | TF | Lubricants must always be kept in sealed containers. | True | False |  |  |  | A | 1 | Apply
261 | KM-02 | KT0906 | Lubrication | Safety | MCQ | Oil spills on floors create a risk of: | Fire only | Slipping hazards | Noise | Overheating | Electrical faults | B | 1 | Understand
262 | KM-02 | KT0906 | Lubrication | Safety | TF | Spilled oil must be cleaned immediately. | True | False |  |  |  | A | 1 | Apply
263 | KM-02 | KT0906 | Lubrication | Safety | MCQ | Used oil must be disposed of: | Down the drain | In general waste | According to environmental regulations | On the ground | In open containers | C | 1 | Understand
264 | KM-02 | KT0906 | Lubrication | Safety | TF | Used oil can be harmful to the environment. | True | False |  |  |  | A | 1 | Remember
265 | KM-02 | KT0902 | Lubrication | Lubricants | MCQ | The SAE rating on oil refers to: | Temperature | Viscosity grade | Chemical composition | Colour | Pressure rating | B | 1 | Remember
266 | KM-02 | KT0902 | Lubrication | Lubricants | TF | Multi?grade oils can operate effectively over a wide temperature range. | True | False |  |  |  | A | 1 | Understand
267 | KM-02 | KT0903 | Lubrication | Applications | MCQ | Which lubrication method is used in gearboxes? | Splash lubrication | Gravity feed | Manual oiling | Mist lubrication | Dry lubrication | A | 1 | Understand
268 | KM-02 | KT0903 | Lubrication | Applications | TF | Gearbox oil must be checked regularly for contamination. | True | False |  |  |  | A | 1 | Apply
269 | KM-02 | KT0904 | Lubrication | Contamination | MCQ | Oxidation of oil is caused by: | Clean environment | Exposure to oxygen and heat | Low temperature | Proper sealing | New filters | B | 1 | Understand
270 | KM-02 | KT0904 | Lubrication | Contamination | TF | Oxidized oil can form sludge and varnish. | True | False |  |  |  | A | 1 | Apply
61 | KM-03 | KT0301 | Grinding Operations | Machine types | MCQ | Which machine is used to produce flat surfaces? | Cylindrical grinder | Surface grinder | Tool and cutter grinder | Bench grinder | Centreless grinder | B | 1 | Remember
62 | KM-03 | KT0301 | Grinding Operations | Machine types | TF | A surface grinder uses a rotating abrasive wheel to produce flat surfaces. | True | False |  |  |  | A | 1 | Understand
63 | KM-03 | KT0301 | Grinding Operations | Machine types | MCQ | A cylindrical grinder is used to grind: | Flat surfaces | Internal threads | External round surfaces | Keyways | Slots | C | 1 | Understand
64 | KM-03 | KT0301 | Grinding Operations | Machine types | TF | Centreless grinding does not require workpiece mounting between centres. | True | False |  |  |  | A | 1 | Remember
65 | KM-03 | KT0302 | Grinding Operations | Abrasives | MCQ | Aluminium oxide wheels are best suited for grinding: | Carbide | Glass | Steel | Brass | Plastic | C | 1 | Understand
66 | KM-03 | KT0302 | Grinding Operations | Abrasives | TF | Silicon carbide wheels are used for grinding non?ferrous metals. | True | False |  |  |  | A | 1 | Remember
67 | KM-03 | KT0302 | Grinding Operations | Abrasives | MCQ | The grade of a grinding wheel refers to its: | Colour | Hardness | Diameter | Bond type | Speed rating | B | 1 | Understand
68 | KM-03 | KT0302 | Grinding Operations | Abrasives | TF | A soft?grade wheel releases dull grains more easily. | True | False |  |  |  | A | 1 | Understand
69 | KM-03 | KT0303 | Grinding Operations | Wheel selection | MCQ | A coarse grit wheel is used for: | Fine finishing | Heavy stock removal | Polishing | Precision grinding | Sharpening drills | B | 1 | Apply
70 | KM-03 | KT0303 | Grinding Operations | Wheel selection | TF | Fine grit wheels produce smoother surface finishes. | True | False |  |  |  | A | 1 | Understand
71 | KM-03 | KT0303 | Grinding Operations | Wheel selection | MCQ | The bond of a grinding wheel refers to: | The abrasive material | The material holding grains together | The wheel diameter | The wheel speed | The coolant used | B | 1 | Remember
72 | KM-03 | KT0303 | Grinding Operations | Wheel selection | TF | Vitrified bonds are commonly used for general grinding. | True | False |  |  |  | A | 1 | Understand
73 | KM-03 | KT0304 | Grinding Operations | Dressing & truing | MCQ | Dressing a grinding wheel means: | Changing the wheel | Cleaning and sharpening the wheel | Increasing wheel speed | Cooling the wheel | Balancing the wheel | B | 1 | Understand
74 | KM-03 | KT0304 | Grinding Operations | Dressing & truing | TF | Dressing exposes new, sharp abrasive grains. | True | False |  |  |  | A | 1 | Remember
75 | KM-03 | KT0304 | Grinding Operations | Dressing & truing | MCQ | Truing a wheel corrects its: | Colour | Shape and concentricity | Bond strength | Grit size | Coolant flow | B | 1 | Understand
76 | KM-03 | KT0304 | Grinding Operations | Dressing & truing | TF | A diamond dresser is commonly used for truing wheels. | True | False |  |  |  | A | 1 | Remember
77 | KM-03 | KT0305 | Grinding Operations | Operations | MCQ | Plunge grinding is used when: | Grinding long shafts | Grinding shoulders or grooves | Grinding flat surfaces | Polishing | Sharpening tools | B | 1 | Apply
78 | KM-03 | KT0305 | Grinding Operations | Operations | TF | Surface grinding uses either a reciprocating table or a rotary table. | True | False |  |  |  | A | 1 | Understand
79 | KM-03 | KT0305 | Grinding Operations | Operations | MCQ | In cylindrical grinding, the workpiece rotates: | Opposite to wheel direction | Same direction as wheel | Randomly | Not at all | Only during dressing | A | 1 | Understand
80 | KM-03 | KT0305 | Grinding Operations | Operations | TF | Centreless grinding uses a regulating wheel to control workpiece speed. | True | False |  |  |  | A | 1 | Remember
81 | KM-03 | KT0306 | Grinding Operations | Safety | MCQ | Before mounting a grinding wheel, it must be: | Painted | Ring?tested | Heated | Soaked in oil | Filed | B | 1 | Remember
82 | KM-03 | KT0306 | Grinding Operations | Safety | TF | A cracked wheel must never be used. | True | False |  |  |  | A | 1 | Remember
83 | KM-03 | KT0306 | Grinding Operations | Safety | MCQ | The tool rest on a bench grinder must be set: | Far from the wheel | Touching the wheel | Within 3 mm of the wheel | At any distance | Above wheel centre | C | 1 | Apply
84 | KM-03 | KT0306 | Grinding Operations | Safety | TF | Safety glasses and a face shield should be worn during grinding. | True | False |  |  |  | A | 1 | Understand
